DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/12/2021,01:00,58292.2,4545.1,0,N
02/12/2021,02:00,58213.6,4521.6,0,N
02/12/2021,03:00,60158.6,4386.5,0,N
02/12/2021,04:00,61281.3,4398.5,0,N
02/12/2021,05:00,61710.1,4398.9,0,N
02/12/2021,06:00,63709.5,4411.9,0,N
02/12/2021,07:00,65684.9,4385.9,0,N
02/12/2021,08:00,66351.3,4365.3,0,N
02/12/2021,09:00,67020.6,4380.3,0,N
02/12/2021,10:00,66309.9,4356.1,0,N
02/12/2021,11:00,66251.5,4354.1,0,N
02/12/2021,12:00,66077,4356.3,0,N
02/12/2021,13:00,64273.5,4361.3,0,N
02/12/2021,14:00,63452.1,4301.9,0,N
02/12/2021,15:00,63498,4301.8,0,N
02/12/2021,16:00,62990,4290.8,0,N
02/12/2021,17:00,63190.7,4265.6,0,N
02/12/2021,18:00,63398.4,4318.1,0,N
02/12/2021,19:00,63055.3,4318.4,0,N
02/12/2021,20:00,63384.6,4318.4,0,N
02/12/2021,21:00,63275,4328.8,0,N
02/12/2021,22:00,62305.7,4376.8,0,N
02/12/2021,23:00,61156.1,4471.7,0,N
02/12/2021,24:00,60862.8,4471.7,3515.8,N
02/13/2021,01:00,59481.4,4380.1,3345.9,N
02/13/2021,02:00,59453.5,4380.1,3720.9,N
02/13/2021,03:00,59306.1,4304.2,3985.3,N
02/13/2021,04:00,59631.7,4316.2,3985.3,N
02/13/2021,05:00,59568.2,4316.2,3986.9,N
02/13/2021,06:00,60070.2,4316.2,4470.9,N
02/13/2021,07:00,62103.6,3995,3663.8,N
02/13/2021,08:00,62681,3995.1,3378.8,N
02/13/2021,09:00,63286.8,3995.1,3097.8,N
02/13/2021,10:00,63949.4,3995.8,2940.1,N
02/13/2021,11:00,63495.2,3995.7,3338.1,N
02/13/2021,12:00,64255,3995.7,3336.5,N
02/13/2021,13:00,64228.6,3995.7,3790,N
02/13/2021,14:00,64443.8,3995.7,3733.4,N
02/13/2021,15:00,64188.8,3995.7,3795.1,N
02/13/2021,16:00,63959.5,3995.7,3800.9,N
02/13/2021,17:00,64030,3995,3801.5,N
02/13/2021,18:00,63810.8,3995,3490.8,N
02/13/2021,19:00,63172.1,4245.2,3492.3,N
02/13/2021,20:00,63113.8,4255.2,3493.5,N
02/13/2021,21:00,63107,4255.2,3495.8,N
02/13/2021,22:00,62963.3,4243.3,3696.6,N
02/13/2021,23:00,62419.9,4380.1,4228.2,N
02/13/2021,24:00,62605.5,4380.1,4228.2,N
02/14/2021,01:00,44287.3,1977.1,25945.3,N
02/14/2021,02:00,44463.1,1983.5,25958.5,N
02/14/2021,03:00,44564.5,1958.5,25965.4,N
02/14/2021,04:00,44707.9,1922,25964.2,N
02/14/2021,05:00,45886.2,1924.6,25969.8,N
02/14/2021,06:00,46355.5,1925.7,25973.4,N
02/14/2021,07:00,47437.5,1947.6,25565.7,N
02/14/2021,08:00,48000.3,1935,25578.5,N
02/14/2021,09:00,48556.5,1940,25598.5,N
02/14/2021,10:00,49070.4,1933.5,25551.1,N
02/14/2021,11:00,49106.7,1933.5,25901.9,N
02/14/2021,12:00,49755.1,1933.5,25888.8,N
02/14/2021,13:00,50399.5,1935,25880.8,N
02/14/2021,14:00,50743.9,1710,25866.1,N
02/14/2021,15:00,50932.8,1710,25853.5,N
02/14/2021,16:00,50935.6,1710,25854.2,N
02/14/2021,17:00,51783.4,1708.5,25472.6,N
02/14/2021,18:00,51725.4,1708.5,25483.4,N
02/14/2021,19:00,51326.1,1933.5,25495.8,N
02/14/2021,20:00,51105.9,1933.5,25519.2,N
02/14/2021,21:00,50919.6,1925.1,25561.3,N
02/14/2021,22:00,50229.7,1905.3,25955.1,N
02/14/2021,23:00,49913.1,1890.8,25965.5,N
02/14/2021,24:00,49035.6,1892.3,26098.2,N
02/15/2021,01:00,41985.5,1469.4,29676.3,N
02/15/2021,02:00,40624.2,1475.8,29685.5,N
02/15/2021,03:00,39931.2,1450.8,29700.2,N
02/15/2021,04:00,39611,1414.3,29712.8,N
02/15/2021,05:00,39901.8,1416.9,29727.3,N
02/15/2021,06:00,39789.2,1447.7,29740.2,N
02/15/2021,07:00,39870.4,1469.6,29337.4,N
02/15/2021,08:00,39714.8,1457,29340.8,N
02/15/2021,09:00,40736.2,1462,29340.3,N
02/15/2021,10:00,43071.9,1455.5,29326.2,N
02/15/2021,11:00,42779.4,1455.5,29684.9,N
02/15/2021,12:00,42351.3,1455.5,29673.7,N
