DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/13/2021,01:00,59481.4,4380.1,0,N
02/13/2021,02:00,59285.7,4380.1,0,N
02/13/2021,03:00,59176.1,4304.2,0,N
02/13/2021,04:00,59870.3,4301.2,0,N
02/13/2021,05:00,59772.9,4316.2,0,N
02/13/2021,06:00,60658,4316.2,0,N
02/13/2021,07:00,62580.4,3960.2,0,N
02/13/2021,08:00,62980.8,3960.3,0,N
02/13/2021,09:00,63011.3,4209.2,0,N
02/13/2021,10:00,63101.3,4209.9,0,N
02/13/2021,11:00,62304.6,4210.9,0,N
02/13/2021,12:00,64033.3,4209.2,0,N
02/13/2021,13:00,64955.1,4231.7,0,N
02/13/2021,14:00,64469.7,4179.3,0,N
02/13/2021,15:00,64557.9,4183.3,0,N
02/13/2021,16:00,64574.1,4153.6,0,N
02/13/2021,17:00,64838.1,4154.9,0,N
02/13/2021,18:00,64540.4,4174.4,0,N
02/13/2021,19:00,63798.6,4124.5,0,N
02/13/2021,20:00,64092.8,4119.5,0,N
02/13/2021,21:00,64154.4,4119,0,N
02/13/2021,22:00,63472.7,4167.3,0,N
02/13/2021,23:00,63082.5,4227.1,0,N
02/13/2021,24:00,62974,4227.1,2367.3,N
02/14/2021,01:00,63524.5,3930.5,2367.5,N
02/14/2021,02:00,63808.2,3920.8,2381.5,N
02/14/2021,03:00,63722,3897.9,2381.8,N
02/14/2021,04:00,63808.5,3892.9,2381.8,N
02/14/2021,05:00,64322.1,3900.9,2381.8,N
02/14/2021,06:00,64928.3,3903.4,2394.5,N
02/14/2021,07:00,66290.9,3935.6,2138.9,N
02/14/2021,08:00,67637.8,3935.6,1568.7,N
02/14/2021,09:00,68185.2,3935.6,1569.2,N
02/14/2021,10:00,69102.4,3933.9,1568.9,N
02/14/2021,11:00,69700.4,3943.4,1568.2,N
02/14/2021,12:00,69879.3,3943.4,1802.1,N
02/14/2021,13:00,70624.9,3943.4,1801.6,N
02/14/2021,14:00,70828.5,3943.4,1801.2,N
02/14/2021,15:00,70903.9,3933.9,1801.2,N
02/14/2021,16:00,71018.9,3933.9,1801,N
02/14/2021,17:00,71531.3,3935.6,1801.2,N
02/14/2021,18:00,71484,3935.6,1617.3,N
02/14/2021,19:00,71322.3,3945.1,1505.8,N
02/14/2021,20:00,71114.1,3954.6,1506.2,N
02/14/2021,21:00,70890.5,3911.5,1507.7,N
02/14/2021,22:00,70122,3696.7,1965.9,N
02/14/2021,23:00,68906.2,3691.2,2341.8,N
02/14/2021,24:00,67503.1,3691.2,3178.2,N
02/15/2021,01:00,48772.8,1424.3,23243.9,N
02/15/2021,02:00,48201.4,1424.3,23089.8,N
02/15/2021,03:00,48071.4,1399.3,23075.1,N
02/15/2021,04:00,47953.1,1367.3,23085.9,N
02/15/2021,05:00,47775.5,1367.3,23097.4,N
02/15/2021,06:00,47677.6,1397,23105,N
02/15/2021,07:00,47731.2,1410,22737.7,N
02/15/2021,08:00,47397.4,1410,22746.1,N
02/15/2021,09:00,48276.1,1410,22744,N
02/15/2021,10:00,50408.2,1410,22736.6,N
02/15/2021,11:00,50319.8,1410,23102.1,N
02/15/2021,12:00,49977.6,1410,23089.7,N
02/15/2021,13:00,49778.2,1410,23076.9,N
02/15/2021,14:00,49430.1,1410,23067,N
02/15/2021,15:00,49156.6,1410,23054.7,N
02/15/2021,16:00,48969.8,1410,23037.7,N
02/15/2021,17:00,48794.6,1410,22664,N
02/15/2021,18:00,46363.8,1410,22665.1,N
02/15/2021,19:00,44912,1410,22691.2,N
02/15/2021,20:00,45625.7,1410,22707.8,N
02/15/2021,21:00,46660.8,1400.1,22720,N
02/15/2021,22:00,47294.2,1380.3,23111.6,N
02/15/2021,23:00,48183.5,1367.3,23117.5,N
02/15/2021,24:00,49082.8,1367.3,23209.9,N
