DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/11/2021,01:00,50697.8,4706.4,0,N
02/11/2021,02:00,50529,4706.8,0,N
02/11/2021,03:00,50098,4588.6,0,N
02/11/2021,04:00,50420.8,4563,0,N
02/11/2021,05:00,51588.7,4628.4,0,N
02/11/2021,06:00,53613.5,4625.5,0,N
02/11/2021,07:00,57039.5,4494.5,0,N
02/11/2021,08:00,57886.7,4513,0,N
02/11/2021,09:00,58358.7,4515.9,0,N
02/11/2021,10:00,59177.9,4513.6,0,N
02/11/2021,11:00,59612.4,4483.7,0,N
02/11/2021,12:00,60109.2,4481.1,0,N
02/11/2021,13:00,61597.5,4477.1,0,N
02/11/2021,14:00,61491.9,4478.5,0,N
02/11/2021,15:00,61607.8,4448.4,0,N
02/11/2021,16:00,61477.8,4468.5,0,N
02/11/2021,17:00,62377.9,4441.1,0,N
02/11/2021,18:00,62213.1,4471,0,N
02/11/2021,19:00,61806.1,4488.7,0,N
02/11/2021,20:00,62594.9,4456,0,N
02/11/2021,21:00,62497.9,4456,0,N
02/11/2021,22:00,61461.5,4441.9,0,N
02/11/2021,23:00,58413.4,4641.5,0,N
02/11/2021,24:00,58953.6,4631.5,3697.8,N
02/12/2021,01:00,58292.2,4545.1,4907.5,N
02/12/2021,02:00,58194.4,4545.1,5287.5,N
02/12/2021,03:00,58704.4,4438,6072.9,N
02/12/2021,04:00,58956.4,4450,6074,N
02/12/2021,05:00,60276.7,4450.4,5680.4,N
02/12/2021,06:00,61963.3,4450.4,5138,N
02/12/2021,07:00,64268.1,4401.9,3109.1,N
02/12/2021,08:00,64312.7,4399.3,3054.7,N
02/12/2021,09:00,64627.4,4414.3,3056.7,N
02/12/2021,10:00,63994.4,4412.6,4185.2,N
02/12/2021,11:00,64025.2,4412.6,4072.2,N
02/12/2021,12:00,63943.2,4421.8,4069.7,N
02/12/2021,13:00,64203.5,4421.8,4166.7,N
02/12/2021,14:00,64224.9,4421.8,4161.4,N
02/12/2021,15:00,64296.1,4421.7,3986.4,N
02/12/2021,16:00,64239.7,4421.7,3984.2,N
02/12/2021,17:00,64030.2,4421.5,3986.2,N
02/12/2021,18:00,63024.8,4421.5,3886.7,N
02/12/2021,19:00,62405.6,4421.5,3591.1,N
02/12/2021,20:00,62383.8,4421.5,3701,N
02/12/2021,21:00,62113.1,4426.6,4124.6,N
02/12/2021,22:00,61661.4,4414.6,4541.4,N
02/12/2021,23:00,61111,4558.2,5048.4,N
02/12/2021,24:00,60311.8,4558.2,5471.5,N
02/13/2021,01:00,35260,1935.8,32577.4,N
02/13/2021,02:00,34989.5,1941.9,32585.7,N
02/13/2021,03:00,35500.2,1942.8,31909.5,N
02/13/2021,04:00,35477.3,1898.2,31917.7,N
02/13/2021,05:00,36742.6,1894.3,31922.9,N
