DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/10/2021,01:00,44681.1,4676.9,0,N
02/10/2021,02:00,44599.2,4676.9,0,N
02/10/2021,03:00,43234.3,4641.6,0,N
02/10/2021,04:00,42907.3,4634.9,0,N
02/10/2021,05:00,45524.2,4634.7,0,N
02/10/2021,06:00,47504,4634.1,0,N
02/10/2021,07:00,52017.6,4621.6,0,N
02/10/2021,08:00,52338.8,4621.6,0,N
02/10/2021,09:00,53134.9,4608.9,0,N
02/10/2021,10:00,53092.1,4607.6,0,N
02/10/2021,11:00,54372.4,4592.4,0,N
02/10/2021,12:00,55041.5,4606.4,0,N
02/10/2021,13:00,55131.9,4604.5,0,N
02/10/2021,14:00,54693.3,4656,0,N
02/10/2021,15:00,54816.4,4656.2,0,N
02/10/2021,16:00,54291.5,4665,0,N
02/10/2021,17:00,54756.1,4666.7,0,N
02/10/2021,18:00,54947.9,4656.6,0,N
02/10/2021,19:00,54765.3,4660.3,0,N
02/10/2021,20:00,55106,4676.9,0,N
02/10/2021,21:00,54629.8,4676.6,0,N
02/10/2021,22:00,54351.7,4664.6,0,N
02/10/2021,23:00,53533.9,4640.5,0,N
02/10/2021,24:00,53064.1,4629.8,4301.8,N
02/11/2021,01:00,50697.8,4706.4,6133.5,N
02/11/2021,02:00,50754.9,4706.8,6999.5,N
02/11/2021,03:00,50729.3,4731.9,7655.6,N
02/11/2021,04:00,50633,4745.3,7660.3,N
02/11/2021,05:00,51952,4745.7,7308.9,N
02/11/2021,06:00,53761.6,4742.8,7771.7,N
02/11/2021,07:00,57384.6,4576.8,5740,N
02/11/2021,08:00,57757.9,4576.2,6106.3,N
02/11/2021,09:00,58509.2,4578.3,5941.3,N
02/11/2021,10:00,59001.3,4576,6505.8,N
02/11/2021,11:00,59623.3,4575.2,6555.6,N
02/11/2021,12:00,59939.7,4575.2,6741.7,N
02/11/2021,13:00,60773.5,4575.2,7664.8,N
02/11/2021,14:00,60928.2,4575.2,7654.3,N
02/11/2021,15:00,61933,4574.9,8218.5,N
02/11/2021,16:00,62771.5,4572.3,7465.3,N
02/11/2021,17:00,63019.2,4574.5,7014.7,N
02/11/2021,18:00,62524.8,4575.3,7488.3,N
02/11/2021,19:00,62156.5,4595,7411.9,N
02/11/2021,20:00,62323.6,4592.3,7468.2,N
02/11/2021,21:00,62543.4,4592.3,7476.4,N
02/11/2021,22:00,62427.4,4580.3,7711.2,N
02/11/2021,23:00,61975.4,4713.1,8025,N
02/11/2021,24:00,61834,4703.3,8144.2,N
02/12/2021,01:00,37941,2009.1,33195.3,N
02/12/2021,02:00,37730.1,2012,33204.1,N
02/12/2021,03:00,37589.9,2014.3,33213.2,N
02/12/2021,04:00,37580.7,1991.3,33221.9,N
02/12/2021,05:00,38520.5,1983.8,33233.4,N
02/12/2021,06:00,38556.7,1971.8,33246.6,N
02/12/2021,07:00,38569.4,2001.9,33225.2,N
02/12/2021,08:00,38382.8,1994.8,33229,N
02/12/2021,09:00,38483.9,1993.7,33214.8,N
02/12/2021,10:00,38868.9,1995.7,33188.1,N
02/12/2021,11:00,38713.7,1995.7,33145.1,N
02/12/2021,12:00,38550.1,1990.9,33119.6,N
02/12/2021,13:00,39241.9,1990.9,33101.2,N
02/12/2021,14:00,39248.8,1765.9,33073.2,N
02/12/2021,15:00,39356.8,1768.2,33047.9,N
