DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,OfflineAvailableMW,DSTFlag
02/14/2021,01:00,63524.5,3930.5,0,N
02/14/2021,02:00,62698.8,3920.8,0,N
02/14/2021,03:00,62562.9,3904.9,0,N
02/14/2021,04:00,63699.9,3825.9,0,N
02/14/2021,05:00,64196.6,3841.9,0,N
02/14/2021,06:00,64780.2,3901.4,0,N
02/14/2021,07:00,66031.5,3946.6,0,N
02/14/2021,08:00,66634.2,3956.6,0,N
02/14/2021,09:00,67166.3,3952.6,0,N
02/14/2021,10:00,68227.7,3955.9,0,N
02/14/2021,11:00,69066.3,3905.2,0,N
02/14/2021,12:00,68519.7,3901.6,0,N
02/14/2021,13:00,69729.1,3936.3,0,N
02/14/2021,14:00,69518.6,3932,0,N
02/14/2021,15:00,69421.3,3927.5,0,N
02/14/2021,16:00,69580.9,3933.3,0,N
02/14/2021,17:00,69521.7,3935,0,N
02/14/2021,18:00,69612.5,3875,0,N
02/14/2021,19:00,69145.1,3856.5,0,N
02/14/2021,20:00,68849.7,3866,0,N
02/14/2021,21:00,69332.7,3783.9,0,N
02/14/2021,22:00,69138.2,3624.1,0,N
02/14/2021,23:00,67443.2,3664.6,0,N
02/14/2021,24:00,66168.7,3633.6,1246.3,N
02/15/2021,01:00,65342.4,3437.3,2200.5,N
02/15/2021,02:00,65196.3,3450.5,2899.4,N
02/15/2021,03:00,65431.4,3440.5,2900.1,N
02/15/2021,04:00,64841.7,3439.8,3251.5,N
02/15/2021,05:00,64654.1,3429.1,3252.1,N
02/15/2021,06:00,64881.3,3459.3,2509.2,N
02/15/2021,07:00,64904.3,3446.8,2338.2,N
02/15/2021,08:00,64710.1,3450.8,2338.2,N
02/15/2021,09:00,65637.3,3447.8,2337.2,N
02/15/2021,10:00,66586.5,3450.5,2337.4,N
02/15/2021,11:00,66371.1,3454.2,2239.4,N
02/15/2021,12:00,66300.6,3454.5,2238.4,N
02/15/2021,13:00,66690.4,3454.7,2237.6,N
02/15/2021,14:00,66770,3453.2,2237.6,N
02/15/2021,15:00,66947.9,3450.2,2234.8,N
02/15/2021,16:00,66772,3450.2,2237,N
02/15/2021,17:00,66054.4,3447.5,2236,N
02/15/2021,18:00,63613.2,3447,2236,N
02/15/2021,19:00,61888.8,3454.5,2339,N
02/15/2021,20:00,61970.6,3472.2,2340,N
02/15/2021,21:00,62354.9,3454.6,2295,N
02/15/2021,22:00,63048,3434.8,2244,N
02/15/2021,23:00,63266.4,3452.7,2786.1,N
02/15/2021,24:00,64017.5,3453.3,2787.4,N
02/16/2021,01:00,46896.6,1654.4,22375.8,N
02/16/2021,02:00,47430,1657.6,22381.6,N
02/16/2021,03:00,48016.2,1622.6,22422.6,N
02/16/2021,04:00,48531.7,1589.9,22427.9,N
02/16/2021,05:00,48719,1591.4,22431.3,N
02/16/2021,06:00,49092.7,1621.6,23062.5,N
02/16/2021,07:00,49816.3,1622.1,22689.5,N
02/16/2021,08:00,50165.4,1626.1,22691.5,N
02/16/2021,09:00,51063.5,1623.1,22681.4,N
02/16/2021,10:00,52147.6,1627.6,22746.8,N
02/16/2021,11:00,52521.2,1631.3,22468.2,N
02/16/2021,12:00,53085.7,1631.6,22431.5,N
02/16/2021,13:00,53403.6,1631.8,22432.8,N
02/16/2021,14:00,53402.8,1630.3,22466.2,N
02/16/2021,15:00,54055.5,1627.3,22554.3,N
02/16/2021,16:00,53478.4,1627.3,22541.1,N
02/16/2021,17:00,53401.8,1622.8,22158.1,N
02/16/2021,18:00,52893.8,1622.3,22740.5,N
02/16/2021,19:00,52519.1,1629.8,22680.4,N
02/16/2021,20:00,52316,1647.5,22703.8,N
02/16/2021,21:00,52181.6,1639.8,22709.4,N
02/16/2021,22:00,50116.7,1639.8,23110.9,N
02/16/2021,23:00,48946.1,1644.7,22584.6,N
02/16/2021,24:00,49958.1,1645.3,22664.1,N
02/17/2021,01:00,40520.5,1684.1,28423.7,N
02/17/2021,02:00,39771.4,1687.3,28403.6,N
02/17/2021,03:00,40369.1,1652.3,28442.6,N
02/17/2021,04:00,40736,1619.6,28442.1,N
02/17/2021,05:00,40984.2,1621.1,28448,N
02/17/2021,06:00,41019.3,1621.6,29081.4,N
02/17/2021,07:00,41242.9,1622.1,28689.8,N
02/17/2021,08:00,41269.1,1626.1,28684.6,N
02/17/2021,09:00,41570.2,1623.1,28674.6,N
02/17/2021,10:00,42566.1,1627.6,29018.3,N
