"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"1/20/2021 2 p.m. CST",5912,1664,48,25,19474,10803,5141
ERCO,"1/20/2021 3 p.m. CST",5860,1448,48,28,19420,10792,5135
ERCO,"1/20/2021 4 p.m. CST",5660,897,73,30,20116,10805,5134
ERCO,"1/20/2021 5 p.m. CST",5269,611,73,36,21308,10749,5133
ERCO,"1/20/2021 6 p.m. CST",5522,215,73,41,22385,10657,5133
ERCO,"1/20/2021 7 p.m. CST",7107,3,76,42,22287,10314,5133
ERCO,"1/20/2021 8 p.m. CST",10201,1,72,28,18675,10501,5133
ERCO,"1/20/2021 9 p.m. CST",11956,1,72,23,16449,10240,5134
ERCO,"1/20/2021 10 p.m. CST",12296,1,48,19,14970,9862,5134
ERCO,"1/20/2021 11 p.m. CST",12669,1,47,22,12402,9838,5134
ERCO,"1/21/2021 12 a.m. CST",13002,1,47,16,10795,8848,5134
ERCO,"1/21/2021 1 a.m. CST",13404,1,47,19,9570,8222,5134
ERCO,"1/21/2021 2 a.m. CST",13630,1,47,19,9200,7417,5135
ERCO,"1/21/2021 3 a.m. CST",13537,1,47,17,9102,7227,5135
ERCO,"1/21/2021 4 a.m. CST",13571,2,47,17,9002,7232,5135
ERCO,"1/21/2021 5 a.m. CST",13694,1,47,16,9480,7262,5135
ERCO,"1/21/2021 6 a.m. CST",13021,1,47,20,11914,7427,5135
ERCO,"1/21/2021 7 a.m. CST",12057,1,47,19,14766,8492,5135
ERCO,"1/21/2021 8 a.m. CST",10445,2,47,21,16761,9713,5135
ERCO,"1/21/2021 9 a.m. CST",8590,84,47,23,17936,10426,5134
ERCO,"1/21/2021 10 a.m. CST",7471,332,47,25,18313,10773,5134
ERCO,"1/21/2021 11 a.m. CST",5600,600,80,25,19361,10812,5133
ERCO,"1/21/2021 12 p.m. CST",4413,938,87,19,20039,10823,5133
ERCO,"1/21/2021 1 p.m. CST",3355,1215,46,25,20629,10577,5130
ERCO,"1/21/2021 2 p.m. CST",2695,1352,47,17,21015,10568,5133
ERCO,"1/21/2021 3 p.m. CST",2414,1722,46,18,20569,10491,5133
ERCO,"1/21/2021 4 p.m. CST",3109,2328,98,19,19381,10120,5132
ERCO,"1/21/2021 5 p.m. CST",3696,1813,90,20,19538,10268,5133
ERCO,"1/21/2021 6 p.m. CST",3565,297,72,37,21367,10533,5132
ERCO,"1/21/2021 7 p.m. CST",3999,1,73,48,21882,10474,5133
ERCO,"1/21/2021 8 p.m. CST",4684,0,71,21,21258,10131,5132
ERCO,"1/21/2021 9 p.m. CST",5688,0,71,18,19079,10722,5133
ERCO,"1/21/2021 10 p.m. CST",5659,0,47,18,17860,10650,5133
ERCO,"1/21/2021 11 p.m. CST",6478,0,46,16,15792,10021,5132
ERCO,"1/22/2021 12 a.m. CST",7563,0,46,20,14587,8146,5133
ERCO,"1/22/2021 1 a.m. CST",8670,0,46,18,13286,6922,5133
ERCO,"1/22/2021 2 a.m. CST",7951,0,46,15,13144,6873,5132
ERCO,"1/22/2021 3 a.m. CST",6674,0,46,15,13386,7375,5132
ERCO,"1/22/2021 4 a.m. CST",6092,0,46,15,13536,7700,5132
ERCO,"1/22/2021 5 a.m. CST",5934,0,46,17,13895,8159,5133
ERCO,"1/22/2021 6 a.m. CST",6221,0,46,17,15576,8285,5133
ERCO,"1/22/2021 7 a.m. CST",6132,0,46,18,18196,8679,5132
ERCO,"1/22/2021 8 a.m. CST",6365,4,46,18,18976,9514,5133
ERCO,"1/22/2021 9 a.m. CST",5780,1015,46,17,18949,9513,5133
ERCO,"1/22/2021 10 a.m. CST",4010,3037,46,14,19342,9236,5133
