Date,Fuel,Settlement Type,Total,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,0:00
01-02-2021,Coal,INITIAL,198369.5,2505.5,2457.1,2473.7,2484.7,2514.6,2521.1,2515.3,2509.2,2511.8,2511.9,2509.2,2504.5,2445.4,2418.2,2390.0,2368.9,2410.1,2490.1,2562.5,2585.9,2650.2,2734.5,2775.2,2801.7,2815.7,2839.0,2877.6,2892.4,2935.6,2965.0,2988.1,2996.8,3030.8,2998.6,2880.0,2746.8,2641.9,2563.8,2518.8,2492.3,2471.6,2441.3,2291.0,2138.7,2028.8,1961.9,1875.7,1747.0,1620.1,1563.9,1534.4,1500.9,1474.0,1471.2,1461.7,1453.3,1453.4,1450.1,1424.1,1403.1,1376.7,1364.0,1371.8,1386.1,1405.3,1441.6,1453.3,1500.2,1545.9,1623.6,1691.0,1777.8,1829.2,1832.0,1796.5,1727.9,1668.9,1647.8,1631.8,1636.6,1632.1,1628.9,1637.9,1643.8,1649.3,1658.2,1659.0,1656.1,1648.9,1642.4,1647.6,1641.3,1621.7,1594.5,1563.7,1535.6
01-02-2021,Gas,INITIAL,29051.2,259.2,257.9,258.4,257.2,259.1,257.5,259.7,260.2,261.6,260.3,254.7,254.5,261.6,263.7,263.7,263.8,258.2,254.9,253.4,255.5,278.4,287.7,304.3,353.0,400.8,408.3,400.6,405.5,413.4,410.8,412.2,409.8,403.2,395.0,384.2,391.4,390.9,372.5,374.5,369.2,350.8,339.5,343.9,334.7,344.9,344.3,341.7,336.3,337.4,348.0,349.1,348.9,341.6,321.5,289.8,272.3,274.5,274.8,275.7,288.6,285.8,289.5,287.9,291.6,289.8,309.9,311.7,319.8,323.6,319.8,327.2,338.7,329.9,338.1,339.2,341.7,336.2,332.9,333.3,335.2,347.1,323.5,265.9,256.7,253.0,248.5,243.9,246.0,237.0,192.1,151.0,141.5,140.1,141.8,141.3,140.9
01-02-2021,Gas-CC,INITIAL,418399.5,5315.1,5342.6,5351.5,5330.6,5365.1,5358.0,5365.7,5362.8,5370.1,5363.8,5367.8,5351.5,5330.8,5333.7,5317.4,5301.0,5323.1,5323.5,5328.5,5363.0,5393.7,5405.4,5407.2,5419.9,5480.1,5533.8,5561.7,5603.0,5663.7,5684.2,5692.6,5648.8,5591.6,5471.3,5363.6,5259.9,5252.7,5204.6,5170.1,5178.2,5115.5,5013.0,4915.3,4816.4,4694.4,4610.0,4482.3,4351.8,4229.9,4070.2,3942.9,3748.3,3609.2,3502.9,3372.0,3274.7,3119.1,3065.8,2974.7,2961.6,2890.3,2876.2,2887.8,2899.1,2936.4,3007.2,3146.8,3364.8,3573.6,3679.2,3703.9,3747.1,3756.0,3755.0,3703.6,3662.9,3635.8,3595.7,3560.7,3530.0,3491.0,3501.0,3518.1,3523.7,3486.7,3497.2,3456.4,3471.6,3435.7,3454.9,3451.1,3459.6,3362.4,3278.5,3211.8,3165.7
01-02-2021,Hydro,INITIAL,577.0,7.6,9.4,9.4,9.4,4.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,2.7,2.7,2.7,2.7,2.3,2.3,2.3,2.8,8.1,8.4,8.4,8.4,8.5,8.5,8.5,8.5,8.5,8.5,8.4,8.5,8.4,8.4,8.5,8.4,16.9,16.9,17.0,16.9,13.5,12.6,12.6,11.6,2.5,2.7,2.7,2.8,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.9,2.8,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,13.5,13.7,13.7,12.6,9.8,9.9,9.9,9.2,7.4,7.5,7.5,7.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
01-02-2021,Nuclear,INITIAL,122604.3,1276.6,1276.5,1276.3,1276.3,1276.2,1276.1,1276.2,1276.1,1276.2,1276.0,1276.3,1276.2,1276.0,1276.2,1276.7,1276.5,1276.3,1276.3,1276.2,1276.1,1276.1,1276.0,1276.1,1276.1,1276.1,1276.1,1276.2,1276.1,1276.1,1276.3,1276.6,1277.0,1276.7,1276.8,1276.4,1276.6,1276.2,1276.1,1276.1,1276.0,1276.6,1276.7,1277.3,1277.0,1277.2,1277.1,1277.1,1277.0,1277.3,1277.3,1277.1,1277.4,1277.2,1277.4,1277.1,1277.2,1277.7,1278.1,1278.3,1278.4,1278.2,1278.6,1278.4,1278.4,1278.3,1278.4,1278.5,1279.0,1278.3,1278.1,1278.3,1278.2,1278.2,1278.3,1278.5,1278.4,1278.3,1278.5,1278.3,1278.3,1278.2,1278.4,1278.2,1278.2,1278.3,1278.3,1278.2,1278.0,1276.6,1276.8,1276.6,1276.7,1276.7,1276.6,1276.7,1276.7
01-02-2021,Other,INITIAL,-35.2,-0.7,-0.8,-1.5,-0.7,-0.5,-0.7,-0.3,-0.3,-0.8,-0.6,0.1,-0.8,-0.6,-0.1,-0.1,-0.3,0.2,-1.0,-0.8,-0.7,-0.6,-0.4,-0.6,-0.5,-0.5,0.4,0.0,-1.1,-0.2,0.1,-0.4,-0.5,-0.5,-0.2,-0.6,-0.1,-0.6,-0.2,1.1,-0.9,0.2,-1.2,-0.1,-0.6,-0.1,-0.4,-0.3,-0.6,0.3,-0.2,-0.9,0.2,-3.4,-3.0,-2.7,-2.0,-2.5,-4.1,-1.9,-5.4,-4.6,-3.6,-2.8,-0.8,1.1,-1.4,0.4,0.4,0.0,-0.2,-0.7,-1.1,-0.7,-0.4,2.5,3.2,6.9,6.2,5.0,5.1,1.8,1.6,0.8,-0.5,-0.5,-0.3,-0.3,0.2,0.2,-0.3,-0.1,-0.9,-2.1,-2.4,0.3,-0.7
01-02-2021,Solar,INITIAL,29083.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,10.9,56.5,166.2,318.2,493.8,639.7,761.4,829.1,833.4,881.1,885.6,899.3,906.9,896.6,878.3,869.5,877.8,883.7,881.0,878.2,883.7,890.5,886.9,888.2,911.6,927.1,933.8,936.9,919.2,952.6,956.2,944.0,917.6,879.3,797.5,645.9,463.9,293.1,146.6,47.1,7.7,2.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01-02-2021,Wind,INITIAL,195586.5,1078.4,1026.7,978.8,907.1,828.6,771.1,710.4,678.6,680.2,646.5,628.1,656.9,698.9,738.6,787.3,843.1,864.4,842.5,793.5,774.6,770.1,739.7,725.0,732.8,721.8,746.8,784.6,827.2,864.7,873.2,912.4,966.7,1025.0,1073.6,1139.4,1169.9,1131.8,1082.2,1010.6,947.5,956.9,1033.1,1157.6,1278.4,1391.7,1505.4,1607.3,1744.7,1850.7,1956.6,2048.9,2143.9,2200.3,2235.1,2315.3,2335.7,2392.2,2402.5,2447.8,2465.5,2490.7,2493.5,2482.4,2476.5,2486.4,2460.3,2463.8,2408.6,2432.3,2540.0,2746.2,2934.2,3099.5,3255.9,3423.7,3578.7,3691.0,3789.0,3869.0,3936.9,3990.8,4046.4,4098.7,4113.5,4123.7,4110.3,4096.4,4058.2,4053.9,4053.0,4005.6,3968.6,3986.7,4021.2,4056.9,4095.1
01-03-2021,Biomass,INITIAL,452.4,4.6,4.6,4.6,4.7,4.6,4.6,4.6,4.6,4.6,4.7,4.8,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.7,4.7,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.0,4.9,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.8,4.7,4.6,4.6,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
01-03-2021,Coal,INITIAL,183005.3,1531.4,1544.3,1525.4,1506.2,1511.1,1513.3,1517.3,1514.6,1495.5,1467.2,1471.2,1475.7,1481.4,1496.5,1500.9,1524.1,1548.6,1563.5,1562.3,1575.9,1609.1,1670.0,1707.9,1715.9,1722.4,1747.2,1802.6,1860.6,1948.9,2037.2,2103.6,2123.5,2145.4,2116.5,2034.3,1973.5,1979.9,2021.9,2091.1,2120.4,2057.8,2085.2,2128.4,2120.6,2130.1,2160.7,2032.8,2031.8,2040.4,2031.3,1983.1,1985.8,1933.4,1940.6,1915.7,1922.9,1902.7,1887.0,1878.3,1875.2,1859.0,1852.4,1885.2,1889.5,1909.7,1978.4,2090.2,2256.4,2323.2,2410.3,2552.2,2643.1,2714.6,2756.4,2718.1,2615.8,2521.2,2425.2,2318.8,2233.7,2143.2,2016.1,1914.5,1810.9,1750.9,1738.8,1749.5,1765.0,1761.5,1751.0,1702.0,1662.3,1631.7,1617.4,1590.4,1544.3
